Date,BRK
1991-08-30,0.02932551
1991-09-30,0.01139601
1991-10-31,-0.0343662
1991-11-29,-0.02567095
1991-12-31,0.08383234
1992-01-31,-0.02209945
1992-02-28,-0.01412429
1992-03-31,0.02578797
1992-04-30,0.01955307
1992-05-29,-0.00273973
1992-06-30,0.01373626
1992-07-31,0.03252033
1992-08-31,-0.04199475
1992-09-30,0.03013699
1992-10-30,0.00797872
1992-11-30,0.13192612
1992-12-31,0.0955711
1993-01-29,0.02978723
1993-02-26,0.03099174
1993-03-31,0.02204409
1993-04-30,-0.00784314
1993-05-28,0.18577075
1993-06-30,0.02666667
1993-07-30,0.03896104
1993-08-31,0.0953125
1993-09-30,-0.04850214
1993-10-29,0.03448276
1993-11-30,0.0
1993-12-31,-0.05362319
1994-01-31,-0.00765697
1994-02-28,-0.0462963
1994-03-31,0.03074434
1994-04-29,0.01098901
1994-05-31,0.0
1994-06-30,0.0
1994-07-29,0.2173913
1994-08-31,-0.0255102
1994-09-30,-0.0078534
1994-10-31,0.06860158
1994-11-30,0.01358025
1994-12-30,-0.00609013
1995-01-31,0.20588235
1995-02-28,-0.0945122
1995-03-31,0.01683502
1995-04-28,-0.04635762
1995-05-31,0.05092593
1995-06-30,0.03303965
1995-07-31,0.0554371
1995-08-31,0.03030303
1995-09-29,0.15294118
1995-10-31,0.00340136
1995-11-30,0.06101695
1995-12-29,0.02555911
1996-01-31,-0.00623053
1996-02-29,0.11285266
1996-03-29,-0.04647887
1996-04-30,-0.01033973
1996-05-31,-0.08955224
1996-06-28,0.00655738
1996-07-31,0.00651466
1996-08-30,0.01294498
1996-09-30,0.02715655
1996-10-31,0.00777605
1996-11-29,0.02469136
1996-12-31,0.02710843
1997-01-31,0.02052786
1997-02-28,0.02011494
1997-03-31,0.01971831
1997-04-30,0.04972376
1997-05-30,0.13157895
1997-06-30,0.09767442
1997-07-31,0.0
1997-08-29,-0.12076271
1997-09-30,0.07951807
1997-10-31,-0.02455357
1997-11-28,0.03661327
1997-12-31,0.01545254
1998-01-30,0.09347826
1998-02-27,0.10934394
1998-03-31,0.20430108
1998-04-30,0.02083333
1998-05-29,0.03061224
1998-06-30,0.10756719
1998-07-31,-0.10471873
1998-08-31,-0.13700877
1998-09-30,-0.01487603
1998-10-30,0.08221477
1998-11-30,0.05271318
1998-12-31,0.03092784
1999-01-29,-0.07142857
1999-02-26,0.09384615
1999-03-31,0.00421941
1999-04-30,0.07002801
1999-05-28,-0.05759162
1999-06-30,-0.04305556
1999-07-30,-0.0158926
1999-08-31,-0.05316717
1999-09-30,-0.14330218
1999-10-29,0.16181818
1999-11-30,-0.10328638
1999-12-31,-0.02094241
2000-01-31,-0.08734403
2000-02-29,-0.140625
2000-03-31,0.3
2000-04-28,0.03671329
2000-05-31,-0.01180438
2000-06-30,-0.08191126
2000-07-31,0.02416357
2000-08-31,0.04718693
2000-09-29,0.11611785
2000-10-31,-0.01086957
2000-11-30,0.03453689
2000-12-29,0.07738998
2001-01-31,-0.03661972
2001-02-28,0.02777778
2001-03-30,-0.06899004
2001-04-30,0.03896104
2001-05-31,0.01029412
2001-06-29,0.01018923
2001-07-31,-0.00288184
2001-08-31,0.00289017
2001-09-28,0.00864553
2001-10-31,0.01714286
2001-11-30,-0.01685393
2001-12-31,0.08
2002-01-31,-0.02248677
2002-02-28,-0.01217862
2002-03-28,-0.0260274
2002-04-30,0.03305204
2002-05-31,0.01565691
2002-06-28,-0.10455764
2002-07-31,0.02245509
2002-08-30,0.06881406
2002-09-30,0.01232877
2002-10-31,0.00392422
2002-11-29,-0.02547513
2002-12-31,0.00622407
2003-01-31,-0.07079038
2003-02-28,-0.08727811
2003-03-31,0.03403566
2003-04-30,0.094279
2003-05-30,0.01697343
2003-06-30,0.02112676
2003-07-31,-0.00675862
2003-08-29,0.0522844
2003-09-30,-0.01022765
2003-10-31,0.03746667
2003-11-28,0.0763398
2003-12-31,0.00597015
2004-01-30,0.06219585
2004-02-27,0.05598391
2004-03-31,-0.01269841
2004-04-30,0.00096463
2004-05-28,-0.04700717
2004-06-30,-0.0005618
2004-07-30,-0.01911186
2004-08-31,-0.00286533
2004-09-30,-0.00402299
2004-10-29,-0.02769763
2004-11-30,-0.00652819
2004-12-31,0.05017921
2005-01-31,0.02275313
2005-02-28,0.00333704
2005-03-31,-0.03547672
2005-04-29,-0.03045977
2005-05-31,-0.00296384
2005-06-30,-0.00713436
2005-07-29,0.0
2005-08-31,-0.00419162
2005-09-30,-0.01383043
2005-10-31,0.04756098
2005-11-30,0.04062864
2005-12-30,-0.00861394
2006-01-31,0.0098172
2006-02-28,-0.03005922
2006-03-31,0.04089862
2006-04-28,-0.01494189
2006-05-31,0.03696629
2006-06-30,-0.00683714
2006-07-31,-0.00064369
2006-08-31,0.04909389
2006-09-29,-0.00309063
2006-10-31,0.10099165
2006-11-30,0.01540649
2006-12-29,0.02698413
2007-01-31,0.0005455
2007-02-28,-0.03507497
2007-03-30,0.02636783
2007-04-30,0.00192678
2007-05-31,0.00265568
2007-06-29,-0.000137
2007-07-31,0.00479562
2007-08-31,0.07627273
2007-09-28,0.0010136
2007-10-31,0.11804911
2007-11-30,0.05735849
2007-12-31,0.01070664
2008-01-31,-0.03954802
2008-02-29,0.02941176
2008-03-31,-0.04714286
2008-04-30,0.00337331
2008-05-30,0.00597684
2008-06-30,-0.1032306
2008-07-31,-0.05217391
2008-08-29,0.0187855
2008-09-30,0.12006861
2008-10-31,-0.11569678
2008-11-28,-0.09948913
2008-12-31,-0.07115385
2009-01-30,-0.07347826
2009-02-27,-0.12180733
2009-03-31,0.10305344
2009-04-30,0.08419839
2009-05-29,-0.02553191
2009-06-30,-0.01746725
2009-07-31,0.07777778
2009-08-31,0.03969072
2009-09-30,0.00148736
2009-10-30,-0.01980198
2009-11-30,0.01616162
2009-12-31,-0.0139165
2010-01-29,0.15524194
2010-02-26,0.04537522
2010-03-31,0.01669449
2010-04-30,-0.05316092
2010-05-28,-0.08163885
2010-06-30,0.13303748
2010-07-30,-0.025
2010-08-31,0.01431624
2010-09-30,0.04908363
2010-10-29,-0.04176707
2010-11-30,0.00754401
2010-12-31,0.00207987
2011-01-31,0.01639685
2011-02-28,0.07249336
2011-03-31,-0.04569688
2011-04-29,-0.00438947
2011-05-31,-0.04789579
2011-06-30,-0.02247948
2011-07-29,-0.03966237
2011-08-31,-0.01552466
2011-09-30,-0.02704771
2011-10-31,0.09503745
2011-11-30,0.01325353
2011-12-30,-0.03160338
2012-01-31,0.02762407
2012-02-29,7.632e-05
2012-03-30,0.03362898
2012-04-30,-0.00902379
2012-05-31,-0.01614238
2012-06-29,0.05128313
2012-07-31,0.0200088
2012-08-31,-0.00694496
2012-09-28,0.04851537
2012-10-31,-0.02407687
2012-11-30,0.01861704
2012-12-31,0.01625277
2013-01-31,0.08813218
2013-02-28,0.04610111
2013-03-28,0.02411533
2013-04-30,0.01740466
2013-05-31,0.07735849
2013-06-28,-0.01576182
2013-07-31,0.03143535
2013-08-30,-0.03939045
2013-09-30,0.02011374
2013-10-31,0.01516812
2013-11-29,0.01014597
2013-12-31,0.01802575
2014-01-31,-0.04715065
2014-02-28,0.02475401
2014-03-31,0.07853438
2014-04-30,0.03162502
2014-05-30,-0.00659682
2014-06-30,-0.0109349
2014-07-31,-0.0093549
2014-08-29,0.09438455
2014-09-30,0.00495434
2014-10-31,0.01498308
2014-11-28,0.06221429
2014-12-31,0.0131576
2015-01-30,-0.04484513
2015-02-27,0.02462187
2015-03-31,-0.01663803
2015-04-30,-0.01885057
2015-05-29,0.00656045
2015-06-30,-0.04632216
2015-07-31,0.04466683
2015-08-31,-0.05359346
2015-09-30,-0.03599943
2015-10-30,0.04792051
2015-11-30,-0.01581654
2015-12-31,-0.01767978
2016-01-29,-0.01739105
2016-02-29,0.04216376
2016-03-31,0.05378786
2016-04-29,0.02600141
2016-05-31,-0.03335616
2016-06-30,0.02494154
2016-07-29,-0.00449361
2016-08-31,0.04518519
2016-09-30,-0.04225726
2016-10-31,-0.00240496
2016-11-30,0.09874826
2016-12-30,0.03004641
2017-01-31,0.00761651
2017-02-28,0.04520544
2017-03-31,-0.02819914
2017-04-28,-0.00828497
2017-05-31,0.00266365
2017-06-30,0.02519723
2017-07-31,0.03174715
2017-08-31,0.03296979
